,City,State,Median home listing price,30-year fixed mortgage rate,Monthly mortgage payment,Median household income,Number of hours per Month to afford a home,rate,nper,pv
0,Toledo,Ohio,"$74,900",3.61%,$273,"$33,687",16.9,3.61%,360,"$59,920"
1,Memphis,Tennessee,"$88,500",3.59%,$321,"$36,445",18.4,3.59%,360,"$70,800"
2,Cleveland,Ohio,"$70,000",3.61%,$255,"$26,150",20.3,3.61%,360,"$56,000"
3,Buffalo,New York,"$90,000",3.60%,$327,"$31,918",21.4,3.60%,360,"$72,000"
4,Baltimore,Maryland,"$139,000",3.58%,$504,"$42,241",24.9,3.58%,360,"$111,200"
5,Wichita,Kansas,"$153,900",3.57%,$558,"$45,947",25.3,3.57%,360,"$123,120"
6,Fort Wayne,Indiana,"$149,900",3.57%,$543,"$43,774",25.9,3.57%,360,"$119,920"
7,Milwaukee,Wisconsin,"$124,800",3.57%,$452,"$35,958",26.2,3.57%,360,"$99,840"
8,Indianapolis[,Indiana,"$145,000",3.62%,$529,"$41,987",26.3,3.62%,360,"$116,000"
9,Columbus,Ohio,"$163,840",3.61%,$597,"$45,659",27.3,3.61%,360,"$131,072"
10,El Paso,Texas,"$161,660",3.56%,$585,"$42,772",28.5,3.56%,360,"$129,328"
11,Oklahoma City,Oklahoma,"$185,000",3.56%,$670,"$47,779",29.2,3.56%,360,"$148,000"
12,Gilbert,Arizona,"$326,532",3.60%,"$1,188","$82,424",30.1,3.60%,360,"$261,226"
13,Winston–Salem,North Carolina,"$159,900",3.56%,$579,"$39,882",30.3,3.56%,360,"$127,920"
14,Arlington,Texas,"$215,000",3.57%,$779,"$53,326",30.5,3.57%,360,"$172,000"
15,Garland,Texas,"$209,999",3.56%,$760,"$51,970",30.5,3.56%,360,"$167,999"
16,Corpus Christi,Texas,"$204,900",3.56%,$742,"$50,658",30.6,3.56%,360,"$163,920"
17,Anchorage,Alaska,"$315,000",3.69%,"$1,158","$78,326",30.9,3.69%,360,"$252,000"
18,Jacksonville,Florida,"$191,000",3.57%,$692,"$46,764",30.9,3.57%,360,"$152,800"
19,Tulsa,Oklahoma,"$175,000",3.56%,$633,"$42,284",31.3,3.56%,360,"$140,000"
20,St. Louis,Missouri,"$148,240",3.60%,$539,"$35,599",31.6,3.60%,360,"$118,592"
21,Saint Paul,Minnesota,"$205,000",3.59%,$745,"$48,757",31.9,3.59%,360,"$164,000"
22,Kansas City,Missouri,"$195,000",3.60%,$709,"$45,821",32.3,3.60%,360,"$156,000"
23,Virginia Beach,Virginia,"$285,000",3.56%,"$1,031","$66,634",32.3,3.56%,360,"$228,000"
24,Greensboro,North Carolina,"$179,900",3.56%,$651,"$41,628",32.6,3.56%,360,"$143,920"
25,Lincoln,Nebraska,"$214,950",3.59%,$781,"$49,840",32.7,3.59%,360,"$171,960"
26,North Las Vegas,Nevada,"$231,500",3.60%,$842,"$52,511",33.5,3.60%,360,"$185,200"
27,Chandler,Arizona,"$323,450",3.60%,"$1,176","$72,695",33.8,3.60%,360,"$258,760"
28,Plano,Texas,"$374,900",3.56%,"$1,357","$83,793",33.8,3.56%,360,"$299,920"
29,Fort Worth,Texas,"$239,000",3.56%,$865,"$53,214",33.9,3.56%,360,"$191,200"
30,Omaha,Nebraska,"$225,000",3.59%,$817,"$49,896",34.2,3.59%,360,"$180,000"
31,Spokane,Washington,"$195,000",3.58%,$707,"$42,386",34.8,3.58%,360,"$156,000"
32,Laredo,Texas,"$184,900",3.56%,$669,"$39,711",35.2,3.56%,360,"$147,920"
33,Bakersfield,California,"$266,612",3.55%,$964,"$57,095",35.2,3.55%,360,"$213,290"
34,Lubbock,Texas,"$210,000",3.56%,$760,"$44,648",35.5,3.56%,360,"$168,000"
35,Philadelphia,Pennsylvania,"$180,000",3.56%,$651,"$38,253",35.5,3.56%,360,"$144,000"
36,Albuquerque,New Mexico,"$219,900",3.63%,$803,"$47,030",35.6,3.63%,360,"$175,920"
37,Norfolk,Virginia,"$210,000",3.56%,$760,"$44,480",35.7,3.56%,360,"$168,000"
38,Chesapeake,Virginia,"$324,900",3.56%,"$1,176","$68,620",35.8,3.56%,360,"$259,920"
39,Pittsburgh,Pennsylvania,"$194,900",3.56%,$705,"$40,715",36.2,3.56%,360,"$155,920"
40,Madison,Wisconsin,"$264,900",3.57%,$960,"$54,896",36.5,3.57%,360,"$211,920"
41,Glendale,Arizona,"$234,969",3.55%,$849,"$46,776",37.9,3.55%,360,"$187,975"
42,Mesa,Arizona,"$246,900",3.60%,$898,"$48,809",38.4,3.60%,360,"$197,520"
43,Newark,New Jersey,"$169,750",3.55%,$614,"$33,139",38.6,3.55%,360,"$135,800"
44,Charlotte,North Carolina,"$275,000",3.56%,$995,"$53,637",38.7,3.56%,360,"$220,000"
45,Baton Rouge,Louisiana,"$205,000",3.55%,$741,"$39,876",38.8,3.55%,360,"$164,000"
46,Tucson,Arizona,"$189,900",3.60%,$691,"$37,149",38.8,3.60%,360,"$151,920"
47,San Antonio,Texas,"$241,990",3.56%,$876,"$46,744",39.1,3.56%,360,"$193,592"
48,Minneapolis,Minnesota,"$269,900",3.59%,$980,"$51,480",39.7,3.59%,360,"$215,920"
49,Henderson,Nevada,"$335,000",3.60%,"$1,218","$63,120",40.3,3.60%,360,"$268,000"
50,Durham,North Carolina,"$269,000",3.56%,$974,"$50,420",40.3,3.56%,360,"$215,200"
51,St. Petersburg,Florida,"$245,000",3.57%,$888,"$45,748",40.5,3.57%,360,"$196,000"
52,Cincinnati,Ohio,"$179,900",3.61%,$655,"$33,604",40.7,3.61%,360,"$143,920"
53,Boise,Idaho,"$269,900",3.60%,$982,"$50,323",40.7,3.60%,360,"$215,920"
54,Raleigh,North Carolina,"$300,000",3.56%,"$1,086","$55,398",40.9,3.56%,360,"$240,000"
55,Las Vegas,Nevada,"$274,900",3.60%,"$1,000","$50,202",41.6,3.60%,360,"$219,920"
56,Phoenix,Arizona,"$268,450",3.60%,$976,"$47,326",43.1,3.60%,360,"$214,760"
57,Colorado Springs,Colorado,"$315,000",3.54%,"$1,137","$54,527",43.5,3.54%,360,"$252,000"
58,Sacramento,California,"$292,900",3.55%,"$1,059","$50,739",43.5,3.55%,360,"$234,320"
59,Richmond,Virginia,"$240,000",3.56%,$869,"$40,758",44.5,3.56%,360,"$192,000"
60,Aurora,Colorado,"$320,000",3.68%,"$1,175","$53,011",46.3,3.68%,360,"$256,000"
61,Stockton,California,"$275,000",3.55%,$994,"$44,797",46.3,3.55%,360,"$220,000"
62,Chicago,Illinois,"$299,000",3.59%,"$1,086","$48,522",46.7,3.59%,360,"$239,200"
63,Fresno,California,"$258,950",3.55%,$936,"$41,531",47,3.55%,360,"$207,160"
64,Orlando,Florida,"$265,000",3.57%,$960,"$42,318",47.4,3.57%,360,"$212,000"
65,Tampa,Florida,"$279,995",3.57%,"$1,015","$44,185",47.9,3.57%,360,"$223,996"
66,Houston,Texas,"$315,000",3.56%,"$1,140","$46,187",51.5,3.56%,360,"$252,000"
67,Atlanta,Georgia,"$329,900",3.54%,"$1,191","$47,527",52.3,3.54%,360,"$263,920"
68,Austin,Texas,"$399,900",3.56%,"$1,447","$57,689",52.4,3.56%,360,"$319,920"
69,Nashville,Tennessee,"$330,000",3.59%,"$1,199","$47,621",52.5,3.59%,360,"$264,000"
70,San Bernardino,California,"$265,000",3.55%,$958,"$37,047",54,3.55%,360,"$212,000"
71,Riverside,California,"$409,900",3.55%,"$1,482","$57,196",54.1,3.55%,360,"$327,920"
72,Irving,Texas,"$375,000",3.56%,"$1,357","$52,154",54.3,3.56%,360,"$300,000"
73,Washington,District of Columbia,"$550,000",3.60%,"$2,000","$70,848",58.9,3.60%,360,"$440,000"
74,Jersey City,New Jersey,"$470,000",3.55%,"$1,699","$59,537",59.6,3.55%,360,"$376,000"
75,Chula Vista,California,"$515,000",3.55%,"$1,862","$65,185",59.6,3.55%,360,"$412,000"
